k,exact,IAPPA1_q1.75,IAPPA2_q1.75,delta1_bound_component,delta2_bound_component
147,9.460701883921916e-13,3.636017724687164e-07,1.4499703956413929e-09,0.02036810050361541,1.2608694657439583e-05
148,5.749795004180991e-13,3.584773483096995e-07,1.3178004705363859e-09,0.020302095477154235,1.2443471195778206e-05
149,3.2943711516954363e-13,3.53119174647214e-07,1.1971067881615094e-09,0.020236700561276914,1.2281479032526978e-05
150,1.7482877724764675e-13,3.4754631627140565e-07,1.0869301558432528e-09,0.02017190653223914,1.2122634365650962e-05
151,8.364979971134239e-14,3.417785068005937e-07,9.863889590190439e-10,0.02010770435883115,1.1966856094475446e-05
152,3.4524855295287213e-14,3.3583595583222095e-07,8.946731294420794e-10,0.02004408519727622,1.18140657157947e-05
153,1.1343955976542729e-14,3.297391620101882e-07,8.1103855110216e-10,0.019981040386292257,1.166418722461494e-05
154,2.5016564541155362e-15,3.2350873408259554e-07,7.348018765309703e-10,0.019918561442310405,1.1517147019296704e-05
155,2.279189883217219e-16,3.17165221760984e-07,6.653357271250377e-10,0.019856640054844818,1.1372873810875022e-05
156,3.3095117645941863e-19,3.1072895791115245e-07,6.020642521269293e-10,0.019795268082008086,1.1231298536348374e-05
157,2.84875276999897e-17,3.042199133148369e-07,5.444590218676448e-10,0.019734437546166897,1.1092354275739023e-05
158,8.02353967753202e-16,2.976575649489171e-07,4.920352315808991e-10,0.01967414062973288,1.0955976172738349e-05
159,4.697316958189089e-15,2.9106077844147535e-07,4.443481917682322e-10,0.019614369671083688,1.0822101358761112e-05
160,1.562943417886078e-14,2.844477050883097e-07,4.009900743929994e-10,0.019555117160609613,1.0690668880242202e-05
161,3.875510492250571e-14,2.7783569355472627e-07,3.615867300488654e-10,0.01949637573688126,1.0561619629018573e-05
162,8.021002178675669e-14,2.71241216149915e-07,3.25795221481829e-10,0.01943813818293392,1.043489627564758e-05
163,1.468828319611134e-13,2.646798093482371e-07,2.933014848974083e-10,0.01938039742266449,1.0310443205520928e-05
164,2.462194437806504e-13,2.5816602804554955e-07,2.638179369127764e-10,0.019323146517337013,1.0188206457641061e-05
165,3.86054366503354e-13,2.5171341288057403e-07,2.3708126884067147e-10,0.019266378662192923,1.0068133665933857e-05
166,5.744658745182575e-13,2.453344698216752e-07,2.1285042162152203e-10,0.01921008718316241,9.95017400297821e-06
167,8.196521466299655e-13,2.390406611178811e-07,1.9090472870005228e-10,0.01915426553367336,9.834278126039373e-06
168,1.1298258513694087e-12,2.32842406638492e-07,1.7104221367638175e-10,0.01909890729155446,9.720398125298823e-06
169,1.513124934638203e-12,2.2674909457661361e-07,1.5307803012806632e-10,0.019044006156029247,9.608487474179063e-06
